Algoritmo,Modificação,Modificação_Base,Total_Cases,Successful_Requests,Success_Rate_Percent,Found_in_Top_K,Hit_Rate_Percent,Avg_Response_Time_Seconds,Avg_Position_When_Found,All_Positions,Median_Position,Is_Truncated
Embedding Texto,text_semantically_modified,text_semantically_modified,20,20,100.0,19,95.0,264,1.47,"[1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 3, 2, 1, 3]",1.0,False
Embedding Texto,text_semantically_modified_truncated_50,text_semantically_modified,20,20,100.0,11,55.0,208,3.82,"[4, 4, 2, 2, 7, 3, 1, 3, 4, 2, 10]",3.0,True
Embedding Texto,text_natural_language,text_natural_language,20,20,100.0,18,90.0,223,1.06,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
Embedding Texto,text_natural_language_truncated_50,text_natural_language,20,20,100.0,18,90.0,224,1.83,"[2, 2, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 4, 1, 2, 1, 3, 4]",1.0,True
app1,text_with_formulas_replaced,text_with_formulas_replaced,20,20,100.0,20,100.0,38233,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
app1,text_with_formulas_replaced_truncated_50,text_with_formulas_replaced,20,20,100.0,15,75.0,6566,1.47,"[1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 3, 1]",1.0,True
app1,text_lightly_modified,text_lightly_modified,20,20,100.0,20,100.0,31759,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
app1,text_lightly_modified_truncated_50,text_lightly_modified,20,20,100.0,14,70.0,6.45,1.71,"[1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 7, 1]",1.0,True
app1,text_semantically_modified,text_semantically_modified,20,20,100.0,15,75.0,29459,1.07,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",1.0,False
app1,text_semantically_modified_truncated_50,text_semantically_modified,20,20,100.0,10,50.0,3.13,2.9,"[1, 2, 3, 1, 1, 5, 1, 10, 4, 1]",1.5,True
app1,text_natural_language,text_natural_language,20,20,100.0,18,90.0,932,1.44,"[6, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
app1,text_natural_language_truncated_50,text_natural_language,20,20,100.0,19,95.0,876,2.32,"[1, 8, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 7, 1, 1, 1, 1, 10]",1.0,True
app2,text_with_formulas_replaced,text_with_formulas_replaced,20,20,100.0,20,100.0,38233,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
app2,text_with_formulas_replaced_truncated_50,text_with_formulas_replaced,20,20,100.0,15,75.0,6566,1.53,"[1, 1, 2, 1, 1, 3, 2, 2, 1, 1, 1, 1, 2, 3, 1]",1.0,True
app2,text_lightly_modified,text_lightly_modified,20,20,100.0,20,100.0,31759,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
app2,text_lightly_modified_truncated_50,text_lightly_modified,20,20,100.0,14,70.0,6.45,1.71,"[1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 6, 1]",1.0,True
app2,text_semantically_modified,text_semantically_modified,20,20,100.0,15,75.0,29459,1.07,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",1.0,False
app2,text_semantically_modified_truncated_50,text_semantically_modified,20,20,100.0,10,50.0,3.13,2.9,"[1, 2, 3, 1, 1, 5, 1, 10, 4, 1]",1.5,True
app2,text_natural_language,text_natural_language,20,20,100.0,18,90.0,932,1.44,"[6, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
app2,text_natural_language_truncated_50,text_natural_language,20,20,100.0,19,95.0,876,2.32,"[1, 8, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 7, 1, 1, 1, 1, 10]",1.0,True
app3,text_with_formulas_replaced,text_with_formulas_replaced,20,20,100.0,20,100.0,38233,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
app3,text_with_formulas_replaced_truncated_50,text_with_formulas_replaced,20,20,100.0,11,55.0,6566,1.55,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5]",1.0,True
app3,text_lightly_modified,text_lightly_modified,20,20,100.0,20,100.0,31759,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
app3,text_lightly_modified_truncated_50,text_lightly_modified,20,20,100.0,9,45.0,6.45,1.67,"[1, 1, 1, 1, 1, 1, 1, 3, 5]",1.0,True
app3,text_semantically_modified,text_semantically_modified,20,20,100.0,20,100.0,29459,1.35,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 4, 1, 1, 1, 2, 1, 2, 1, 1, 1]",1.0,False
app3,text_semantically_modified_truncated_50,text_semantically_modified,20,20,100.0,10,50.0,3.13,2.9,"[1, 2, 3, 1, 1, 5, 1, 10, 4, 1]",1.5,True
app3,text_natural_language,text_natural_language,20,20,100.0,18,90.0,932,1.44,"[6, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
app3,text_natural_language_truncated_50,text_natural_language,20,20,100.0,19,95.0,876,2.32,"[1, 8, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 7, 1, 1, 1, 1, 10]",1.0,True
app4,text_with_formulas_replaced,text_with_formulas_replaced,20,20,100.0,20,100.0,38233,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
app4,text_with_formulas_replaced_truncated_50,text_with_formulas_replaced,20,20,100.0,11,55.0,6566,1.55,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5]",1.0,True
app4,text_lightly_modified,text_lightly_modified,20,20,100.0,20,100.0,31759,1.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
app4,text_lightly_modified_truncated_50,text_lightly_modified,20,20,100.0,9,45.0,6.45,1.67,"[1, 1, 1, 1, 1, 1, 1, 3, 5]",1.0,True
app4,text_semantically_modified,text_semantically_modified,20,20,100.0,20,100.0,29459,1.45,"[1, 1, 1, 1, 1, 1, 2, 1, 3, 2, 4, 1, 1, 1, 2, 1, 2, 1, 1, 1]",1.0,False
app4,text_semantically_modified_truncated_50,text_semantically_modified,20,20,100.0,10,50.0,3.13,2.9,"[1, 2, 3, 1, 1, 5, 1, 10, 4, 1]",1.5,True
app4,text_natural_language,text_natural_language,20,20,100.0,18,90.0,932,1.44,"[6, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,False
app4,text_natural_language_truncated_50,text_natural_language,20,20,100.0,19,95.0,876,2.32,"[1, 8, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 7, 1, 1, 1, 1, 10]",1.0,True
